"sampleid","investigation","sample_type","disease_type","platform","experimental_strategy","data_submitting_center_label"
"s17597","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17595","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17630","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17639","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17638","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17650","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17649","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17647","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17624","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17641","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17596","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17590","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17601","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17627","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17646","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17633","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17592","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17587","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17593","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17618","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17643","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17632","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17621","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17619","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17594","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17764","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17793","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17787","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17777","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17791","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17780","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17762","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17766","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17790","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17799","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","ABI SOLiD","WGS","Baylor College of Medicine"
"s17792","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17779","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17778","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17798","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17774","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17763","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17781","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17784","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17783","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17794","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17771","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17788","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17773","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17797","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17765","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17775","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17767","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17768","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17769","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17795","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17776","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","ABI SOLiD","WGS","Baylor College of Medicine"
"s17796","TCGA-OV","Solid Tissue Normal","Ovarian Serous Cystadenocarcinoma","ABI SOLiD","WGS","Baylor College of Medicine"
"s17772","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17760","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17786","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17761","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17789","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17782","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17770","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","ABI SOLiD","WGS","Baylor College of Medicine"
"s17785","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18000","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17982","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17978","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17989","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18011","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17993","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17985","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17980","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17987","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17979","TCGA-OV","Solid Tissue Normal","Ovarian Serous Cystadenocarcinoma","LS 454","WGS","Baylor College of Medicine"
"s17990","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18012","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17996","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18002","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17994","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17983","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17998","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18005","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17984","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17992","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17991","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17995","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18009","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17981","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18004","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17988","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18015","TCGA-OV","Solid Tissue Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17997","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17999","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18016","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18013","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18006","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18008","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18010","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18003","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18001","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17986","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18014","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18007","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18078","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18066","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18022","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s18054","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18049","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18074","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18029","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18037","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18017","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Washington University School of Medicine"
"s18059","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18067","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18025","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18018","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s18019","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s18021","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s18050","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18044","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18051","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18040","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18077","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18062","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18057","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18080","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18027","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18053","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18026","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18052","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18030","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18075","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18041","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18023","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s18031","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18061","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","ABI SOLiD","WGS","Baylor College of Medicine"
"s18033","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18034","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","ABI SOLiD","WGS","Baylor College of Medicine"
"s18070","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s18076","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18045","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18064","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18024","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18073","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18039","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18035","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18079","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18063","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18020","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s18069","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18058","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18028","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18072","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18068","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18056","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18038","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18071","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18047","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18048","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18046","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18043","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18036","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","ABI SOLiD","WGS","Baylor College of Medicine"
"s18060","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18042","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18055","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s18032","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18065","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18149","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s18147","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Washington University School of Medicine"
"s18150","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Washington University School of Medicine"
"s18148","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17182","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17196","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17197","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17185","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17170","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
